"transcript_biotype" "entrezgene" "ensembl_gene_id" "ensembl_gene_id_version" "hgnc_symbol" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val"
"PRKX" "protein_coding" 5613 "ENSG00000183943" "ENSG00000183943.5" "PRKX" 1.85305172728992 2.2733692231059 9.90720612014565 4.13428916348304e-19 5.36961476553178e-15
"TIMP2" "protein_coding" 7077 "ENSG00000035862" "ENSG00000035862.12" "TIMP2" 1.85528544671134 5.93339644695879 9.71327231484692 1.459112634714e-18 9.47547744983272e-15
"ACSM5" "protein_coding" 54988 "ENSG00000183549" "ENSG00000183549.10" "ACSM5" -3.41233001460989 5.21220330860279 -9.45659465195351 7.65381573125961e-18 3.28500743564632e-14
"QSOX1" "protein_coding" 5768 "ENSG00000116260" "ENSG00000116260.16" "QSOX1" 2.50353923151364 5.34035032563524 9.41316592114302 1.01170540056862e-17 3.28500743564632e-14
"PTPRS" "protein_coding" 5802 "ENSG00000105426" "ENSG00000105426.16" "PTPRS" 2.94299777482065 2.16136537066785 9.2221327349583 3.43453934374776e-17 8.92155939931917e-14
"ISYNA1" "protein_coding" 51477 "ENSG00000105655" "ENSG00000105655.18" "ISYNA1" 2.10967919959586 3.6134262916976 9.11456325562193 6.80953216536789e-17 1.30441530244792e-13
"AQP9" "protein_coding" 366 "ENSG00000103569" "ENSG00000103569.9" "AQP9" -3.72112677253803 7.10703104142725 -9.109539544829 7.03026418011659e-17 1.30441530244792e-13
"CREB3L1" "protein_coding" 90993 "ENSG00000157613" "ENSG00000157613.10" "CREB3L1" 2.94015383327442 1.17943922605551 9.04121543710337 1.08415477262523e-16 1.76012527335706e-13
"SLC45A4" "protein_coding" 57210 "ENSG00000022567" "ENSG00000022567.9" "SLC45A4" 2.09938945826503 2.41160883272641 8.97946304006724 1.60205600530978e-16 2.31194482188482e-13
"CYP8B1" "protein_coding" 1582 "ENSG00000180432" "ENSG00000180432.5" "CYP8B1" -4.87133535894641 5.9536022984469 -8.95006876260507 1.92892966864966e-16 2.47297961719665e-13
"ABCB4" "protein_coding" 5244 "ENSG00000005471" "ENSG00000005471.16" "ABCB4" -2.89408102512823 6.00050379847874 -8.9369900616789 2.09445455721921e-16 2.47297961719665e-13
"DBN1" "protein_coding" 1627 "ENSG00000113758" "ENSG00000113758.13" "DBN1" 1.93762265639864 4.06386178411535 8.86678292877514 3.2584905633224e-16 3.41402928441265e-13
